PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
749,1,peter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
750,1,frampton,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
751,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,1,joyce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
752,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,1,joyce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
753,1,theater,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
754,1,theater,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
755,1,wrote,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
756,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,1,wrote,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
757,1,music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
757,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758,1,music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
759,1,one,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
760,1,one,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
761,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,1,ballets,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,1,ballets,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
764,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,1,gave,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
765,1,gave,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
766,1,little,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
767,1,little,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
767,1,talk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
768,1,talk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
768,1,very,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769,1,nice,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
